feature,importance
age_difference,82.0
f2_striking_volume_control,81.0
f1_striking_volume_control,80.0
takedown_ability_diff,61.0
recent_control_time_sec_last_3_diff,45.0
f1_striking_differential,44.0
takedown_matchup,43.0
f2_striking_differential,38.0
recent_sig_strike_diff_last_3_diff,35.0
f1_recent_control_time_sec_last_3,35.0
striking_differential,33.0
f1_age_x_days_since_last_fight,33.0
f1_time_decayed_win_rate_adj_opp_quality,31.0
f1_reach_inches,31.0
f2_recent_control_time_sec_last_3,30.0
f1_days_between_last_2_fights,30.0
reach_advantage,29.0
striking_output_diff,29.0
f1_age,29.0
time_decayed_win_rate_adj_opp_quality_diff,27.0
f2_days_between_last_2_fights,27.0
f2_reach_inches,27.0
f1_days_since_last_fight,26.0
striking_differential_x_opponent_quality_diff,26.0
recent_finish_loss_ratio_last_2_diff,26.0
prospect_momentum_score_diff,25.0
f2_age_x_days_since_last_fight,25.0
f1_avg_beaten_opponent_total_fights,25.0
recent_form_quality_adjusted_diff,24.0
f1_time_decayed_ko_rate,24.0
power_striker_score_diff,24.0
f1_sig_strikes_landed_per_min,24.0
f2_days_since_last_fight,24.0
avg_beaten_opponent_win_rate_diff,24.0
f1_avg_beaten_opponent_win_rate,23.0
f2_submission_rate,23.0
f1_losses,22.0
recent_vs_career_win_rate_diff,22.0
age_x_fights_since_last_win_diff,22.0
f2_sig_strikes_landed_per_min,22.0
round_3_win_rate_diff,21.0
f2_recent_sig_strike_diff_last_3,21.0
f2_time_decayed_finish_rate,20.0
age_x_fights_in_last_year_diff,20.0
f1_early_finish_advantage,20.0
f2_avg_beaten_opponent_total_fights,20.0
f2_power_striker_score,20.0
f1_round_3_performance_score,20.0
f2_losses,19.0
f2_age,19.0
f1_age_x_fights_in_last_year,19.0
f2_avg_beaten_opponent_win_rate,19.0
f2_avg_lost_to_opponent_win_rate,18.0
f1_ko_rate,18.0
f1_power_striker_score,18.0
f2_avg_fight_duration_rounds,18.0
time_decayed_ko_rate_diff,17.0
f1_total_fights,17.0
age_x_days_since_last_fight_diff,17.0
striking_accuracy_x_opponent_quality_diff,17.0
f1_submission_rate,17.0
striking_volume_control_x_opponent_quality_diff,16.0
f1_avg_lost_to_opponent_win_rate,16.0
height_advantage,16.0
win_rate_last_3_years_diff,16.0
f2_ko_rate,16.0
f1_time_decayed_finish_rate,16.0
round_3_performance_diff,16.0
f2_decision_rate,15.0
f1_round_3_fight_rate,15.0
f1_prospect_momentum_score,14.0
f1_recent_sig_strike_diff_last_3,14.0
f1_avg_fight_duration_rounds,13.0
f1_recent_vs_career_win_rate,13.0
f1_age_x_fights_since_last_win,13.0
f2_round_3_performance_score,13.0
f2_age_x_fights_since_last_win,13.0
f2_round_3_fight_rate,12.0
f2_first_round_finish_rate,12.0
time_decayed_finish_rate_diff,12.0
f2_wins,12.0
experience_difference,12.0
f2_performance_trend,12.0
f2_total_fights,12.0
early_finish_advantage_diff,11.0
age_x_years_since_last_fight_diff,11.0
f1_recent_form_quality_adjusted,11.0
f2_round_3_finish_rate,11.0
f2_age_x_fights_in_last_year,11.0
f2_sig_strikes_landed_per_min_lifetime,10.0
first_round_finish_rate_diff,10.0
f2_time_decayed_ko_rate,10.0
opponent_quality_score_diff_squared,10.0
f1_first_round_finish_rate,9.0
f2_recent_vs_career_win_rate,9.0
f1_decision_rate,9.0
time_decayed_win_rate_x_opponent_quality_diff,8.0
f1_wins,8.0
f2_early_finish_advantage,8.0
f2_win_rate_last_3_years,8.0
f1_age_x_years_since_last_fight,7.0
f1_round_3_finish_rate,7.0
f1_height_cm,7.0
f1_win_rate_last_3_years,7.0
f2_prospect_momentum_score,7.0
f1_sig_strikes_landed_per_min_lifetime,6.0
f2_height_cm,6.0
style_volatility_mismatch_diff,6.0
age_x_recent_vs_career_decline_diff,5.0
f2_recent_finish_loss_ratio_last_2,5.0
f2_age_x_years_since_last_fight,5.0
f2_age_x_recent_vs_career_decline,5.0
win_streak_diff,4.0
f1_age_x_recent_vs_career_decline,4.0
f2_time_decayed_win_rate_adj_opp_quality,4.0
f1_performance_trend,3.0
f1_round_3_win_rate,3.0
f1_recent_finish_loss_ratio_last_2,3.0
orthodox_vs_orthodox,2.0
num_common_opponents,2.0
f2_round_3_win_rate,2.0
f2_recent_form_quality_adjusted,2.0
southpaw_vs_southpaw,1.0
orthodox_vs_southpaw,1.0
f2_fights_in_last_year,1.0
age_x_elite_experience_diff,1.0
