feature,importance
f1_recent_control_time_diff_last_3,10.0
finish_rate_last_3_years_diff,9.0
f2_avg_beaten_opponent_win_rate,9.0
f1_total_fights,9.0
f1_time_decayed_win_rate,9.0
f1_ko_rate,9.0
f1_round_3_fight_rate,9.0
f1_height_cm,9.0
f2_first_round_finish_rate,9.0
f2_total_fights,8.0
f2_early_finish_advantage,8.0
f2_age_x_fights_since_last_win,8.0
f1_avg_fight_duration_rounds,8.0
opponent_quality_score_diff_squared,8.0
f2_win_rate_last_3_years,8.0
win_rate_last_3_years_diff,7.0
f1_power_striker_score,7.0
f1_opponent_quality_score,7.0
f1_round_3_win_rate,7.0
f1_youth_form_score,7.0
early_finish_advantage_diff,7.0
f2_age_x_fights_in_last_year,7.0
age_x_recent_vs_career_decline_diff,6.0
win_streak_diff,6.0
f1_first_round_finish_rate,6.0
f1_sig_strikes_landed_per_min_lifetime,6.0
f2_decision_rate,6.0
f1_finish_rate,5.0
f2_height_cm,5.0
f1_time_decayed_finish_rate,5.0
f1_decision_rate,5.0
f1_win_rate_last_3_years,5.0
f2_sig_strikes_landed_per_min_lifetime,5.0
f2_round_3_win_rate,4.0
style_volatility_mismatch_diff,4.0
f2_round_3_fight_rate,4.0
f2_recent_finish_loss_ratio_last_2,4.0
f2_weight_lbs,4.0
f2_current_loss_streak,4.0
f2_youth_form_score,4.0
f2_finish_rate,4.0
f1_wins_last_3_years,4.0
recent_knockdown_diff_last_3_diff,4.0
recent_form_diff,4.0
time_decayed_finish_rate_diff,4.0
first_round_finish_rate_diff,3.0
f2_round_3_finish_rate,3.0
decision_losses_since_last_win_diff,3.0
f2_time_decayed_win_rate_adj_opp_quality,3.0
orthodox_vs_southpaw,3.0
age_x_years_since_last_fight_diff,3.0
f1_draws,3.0
f1_ko_rate_last_5,3.0
early_finish_rate_last_3_diff,3.0
f1_round_3_finish_rate,3.0
f1_ko_rate_last_3,3.0
f1_performance_trend,3.0
f2_decision_losses_since_last_win,3.0
f2_current_win_streak,3.0
f1_decision_losses_since_last_win,3.0
f1_age_x_years_since_last_fight,3.0
f1_age_x_recent_vs_career_decline,3.0
f1_prospect_momentum_score,3.0
losses_last_3_years_diff,2.0
f1_early_finish_rate_last_3,2.0
f1_finish_rate_last_3_years,2.0
f1_finish_rate_last_5,2.0
finish_losses_since_last_win_diff,2.0
f1_first_round_ko_rate,2.0
losses_since_last_win_diff,2.0
num_common_opponents,2.0
f2_recent_finish_losses_last_2,2.0
f2_win_rate_last_3,2.0
early_finish_rate_last_5_diff,2.0
f1_weight_lbs,2.0
striker_vs_grappler,2.0
f2_age_in_prime,2.0
f2_age_x_years_since_last_fight,2.0
f2_finish_losses_since_last_win,2.0
f2_stance_orthodox,2.0
f2_finish_rate_last_3_years,2.0
f2_finish_rate_last_5,2.0
f2_first_round_ko_rate,2.0
f2_losses_last_3_years,2.0
f2_age_x_recent_vs_career_decline,2.0
power_striker_matchup,1.0
recent_finish_loss_last_fight_diff,1.0
f1_age_in_prime,1.0
common_opponent_performance_diff,1.0
f1_stance_orthodox,1.0
f1_current_loss_streak,1.0
f1_current_win_streak,1.0
f1_early_finish_rate_last_5,1.0
f1_fights_since_last_win,1.0
f1_finish_losses_since_last_win,1.0
f1_finish_rate_last_3,1.0
f1_losses_last_3_years,1.0
f1_losses_since_last_win,1.0
f1_recent_finish_loss_last_fight,1.0
f1_recent_finish_loss_ratio_last_2,1.0
f1_recent_finish_losses_last_2,1.0
f1_recent_losses_last_2,1.0
f2_activity_rate,1.0
first_round_ko_rate_diff,1.0
f1_age_past_prime,1.0
f2_early_finish_rate_last_3,1.0
f2_early_finish_rate_last_5,1.0
f2_fights_since_last_win,1.0
f2_finish_rate_last_3,1.0
f2_losses_since_last_win,1.0
f2_opponent_quality_score,1.0
f2_recent_finish_loss_last_fight,1.0
f2_stance_southpaw,1.0
f2_stance_switch,1.0
f2_win_rate_last_5,1.0
fights_since_last_win_diff,1.0
youth_form_score_diff,1.0
